SPACY
WITH POS
score	bID1	bID2	predicted_entities	query
0 	 bn:00030624n 	 bn:00088643v 	 {'bn:03833262n': 'What', 'bn:00030616n': 'employers'} 	 What can employers do?
0 	 bn:00031027n 	 bn:00082281v 	 {'bn:03833262n': 'What'} 	 What can Any entity do?
0 	 bn:00096545a 	 bn:00048504n 	 {'bn:03833262n': 'What', 'bn:00025884n': 'defendant', 'bn:00047208n': 'questions'} 	 What can do made the provision that adverse comments or inferences can not be made by the judge or jury regarding the refusal by a defendant to answer questions before or during a trial , hearing or any other legal proceeding?
0 	 bn:14325995n 	 bn:00082412v 	 {'bn:03833262n': 'What'} 	 What can The Singapore national youth football team , nicknamed the Cubs , do?
1 	 bn:00046516n 	 bn:00084231v 	 {'bn:00084231v': 'find', 'bn:00018756n': 'tasks'} 	 What can do find many other tasks to do?
1 	 bn:03527901n 	 : 	 {'bn:00020727n': 'color', 'bn:03527901n': 'Ruché'} 	 What color is Ruché?
1 	 bn:00500353n 	 n: 	 {'bn:00500353n': 'Pais'} 	 What is the color of Pais?
1 	 bn:03044451n 	 n: 	 {'bn:03044451n': 'KELT-2A'} 	 What is the color of KELT-2A?
0 	 bn:00035378n 	 bn:00100914a 	 {'bn:01196111n': 'flowers'} 	 what color can flowers have?
1 	 bn:00944135n 	 bn:00098581a 	 {'bn:00944135n': 'papal slippers'} 	 what color can papal slippers have?
1 	 bn:02022749n 	 bn:03170677n 	 {'bn:02022749n': 'City Mall'} 	 What is City Mall?
1 	 bn:00734762n 	 bn:00060680n 	 {'bn:00734762n': 'Blessed Sacrament Catholic Church'} 	 What is Blessed Sacrament Catholic Church?
0 	 bn:00063196n 	 bn:00046516n 	 {'bn:03638502n': 'poet'} 	 What is the class of a poet ?
0 	 bn:00062749n 	 bn:00098101a 	 {'bn:03833262n': 'What', 'bn:00602826n': 'Plain'} 	 What is Plain weave?
1 	 bn:03186661n 	 bn:01446778n 	 {'bn:03186661n': 'Nico and Dani'} 	 What is Nico and Dani?
1 	 bn:00019104n 	 bn:00303018n 	 {'bn:00019104n': 'cimetidine'} 	 Where is cimetidine used?
0 	 bn:00933064n 	 bn:00070193n 	 {'bn:03833262n': 'What'} 	 What is necessary and sufficient condition used for?
1 	 bn:00046041n 	 bn:01059707n 	 {'bn:00046041n': 'mmune+response', 'bn:13783090v': 'used'} 	 What is immune response used for?
0 	 bn:00076587n 	 bn:00084801v 	 {'bn:03833262n': 'What', 'bn:00018105n': 'chemical elements'} 	 What can you use to characterize the general physical and chemical properties of the chemical elements?
0 	 bn:00003735n 	 bn:00045726n 	 {'bn:00016464n': 'cashew'} 	 How can I use cashew?
1 	 bn:03647513n 	 bn:00016049n 	 {'bn:03647513n': 'HESCO+bastion'} 	 What is HESCO bastion made of?
1 	 bn:03646488n 	 bn:03731671n 	 {'bn:03833262n': 'What', 'bn:03646488n': 'Abciximab'} 	 What constitutes Abciximab?
1 	 bn:00145833n 	 bn:00035580n 	 {'bn:00145833n': 'ecurity+thread'} 	 What is security thread made of?
0 	 bn:03003925n 	 bn:00081492n 	 {'bn:00982623n': 'Houde'} 	 What is Houde Bimax made of?
0 	 bn:02653401n 	 bn:00054550n 	 {'bn:03833262n': 'What'} 	 What is herb grinder made of?
